###############################################################
Date Time: 20.03.2011 18:37:44
Device Description: SCANTOOL.NET LLC
Version ID: ELM327 v1.2a
Protocol: AUTO, ISO 14230-4 (KWP FAST)
Battery Voltatage: 14.2V
###############################################################
Date Time,  Coolant Temperature, Vehicule speed, Engine RPM
20.03.2011 18:42:16,67,46,2283
20.03.2011 18:42:17,66,46,2325
20.03.2011 18:42:19,66,42,2211
20.03.2011 18:42:21,66,43,2166
20.03.2011 18:42:22,66,43,2167
20.03.2011 18:42:24,66,43,2179
20.03.2011 18:42:25,66,43,2178
20.03.2011 18:42:27,66,42,2128
20.03.2011 18:42:28,66,39,2061
20.03.2011 18:42:30,66,33,1731
20.03.2011 18:42:31,66,31,1593
20.03.2011 18:42:33,66,32,1629
20.03.2011 18:42:34,66,32,1582
20.03.2011 18:42:36,66,26,1455
20.03.2011 18:42:37,66,15,887
20.03.2011 18:42:39,66,15,1113
20.03.2011 18:42:40,66,22,1506
20.03.2011 18:42:42,66,28,1995
20.03.2011 18:42:43,67,34,2416
20.03.2011 18:42:45,67,35,1668
20.03.2011 18:42:46,67,39,1914
20.03.2011 18:42:48,68,40,2017
20.03.2011 18:42:49,68,40,2025
20.03.2011 18:42:51,68,38,1951
20.03.2011 18:42:52,69,37,1864
20.03.2011 18:42:54,69,41,2000
20.03.2011 18:42:56,70,46,2224
20.03.2011 18:42:57,70,51,2478
20.03.2011 18:42:59,70,55,2733
20.03.2011 18:43:00,71,60,2951
20.03.2011 18:43:02,71,64,3136
20.03.2011 18:43:03,72,68,3332
20.03.2011 18:43:05,73,72,3578
20.03.2011 18:43:06,73,77,3781
20.03.2011 18:43:08,75,81,3994
20.03.2011 18:43:09,76,86,4244
20.03.2011 18:43:11,76,93,4577
20.03.2011 18:43:12,77,100,4916
20.03.2011 18:43:14,78,103,5026
20.03.2011 18:43:15,80,101,4030
20.03.2011 18:43:17,80,98,3934
20.03.2011 18:43:18,81,96,3820
20.03.2011 18:43:20,81,95,3771
20.03.2011 18:43:21,81,95,3757
20.03.2011 18:43:23,82,95,3759
20.03.2011 18:43:24,82,96,3794
20.03.2011 18:43:26,83,98,3845
20.03.2011 18:43:27,83,99,3899
20.03.2011 18:43:29,85,97,2351
20.03.2011 18:43:31,85,94,2093
20.03.2011 18:43:32,85,92,2977
20.03.2011 18:43:34,86,91,2925
20.03.2011 18:43:35,86,90,2908
20.03.2011 18:43:37,86,89,2890
20.03.2011 18:43:38,86,89,2861
20.03.2011 18:43:40,86,88,2842
20.03.2011 18:43:41,87,88,2817
20.03.2011 18:43:43,88,87,2799
20.03.2011 18:43:44,88,87,2791
20.03.2011 18:43:46,88,87,2785
20.03.2011 18:43:47,89,88,2808
20.03.2011 18:43:49,90,89,2850
20.03.2011 18:43:50,90,90,2885
20.03.2011 18:43:52,91,91,2913
20.03.2011 18:43:53,91,91,2925
20.03.2011 18:43:55,91,91,2925
20.03.2011 18:43:56,92,90,2914
20.03.2011 18:43:58,93,90,2894
20.03.2011 18:43:59,93,89,2867
20.03.2011 18:44:01,94,89,2853
20.03.2011 18:44:02,95,89,2864
20.03.2011 18:44:04,95,89,2866
20.03.2011 18:44:06,95,90,2884
20.03.2011 18:44:07,96,90,2900
20.03.2011 18:44:09,96,91,2913
20.03.2011 18:44:10,96,91,2927
20.03.2011 18:44:12,97,91,2937
20.03.2011 18:44:13,98,92,2961
20.03.2011 18:44:15,98,92,2962
20.03.2011 18:44:16,98,93,2984
20.03.2011 18:44:18,96,94,3017
20.03.2011 18:44:19,90,95,3046
20.03.2011 18:44:21,83,95,3054
20.03.2011 18:44:22,80,96,3074
20.03.2011 18:44:24,80,96,3078
20.03.2011 18:44:25,82,96,3097
20.03.2011 18:44:27,83,97,3112
20.03.2011 18:44:28,83,97,3126
20.03.2011 18:44:30,84,98,3138
20.03.2011 18:44:31,85,98,3148
20.03.2011 18:44:33,86,98,3147
20.03.2011 18:44:34,87,98,3145
20.03.2011 18:44:36,88,98,3138
20.03.2011 18:44:38,88,98,3134
20.03.2011 18:44:39,90,98,3141
20.03.2011 18:44:41,90,98,3145
20.03.2011 18:44:42,91,98,3142
20.03.2011 18:44:44,91,97,3133
20.03.2011 18:44:45,92,97,3112
20.03.2011 18:44:47,93,97,3105
20.03.2011 18:44:48,93,96,3103
20.03.2011 18:44:50,95,97,3108
20.03.2011 18:44:51,94,97,3107
20.03.2011 18:44:53,93,97,3120
20.03.2011 18:44:54,89,98,3138
20.03.2011 18:44:56,86,98,3139
20.03.2011 18:44:57,84,98,3138
20.03.2011 18:44:59,83,98,3138
20.03.2011 18:45:00,84,98,3156
20.03.2011 18:45:02,85,99,3177
20.03.2011 18:45:03,86,99,3187
20.03.2011 18:45:05,86,99,3194
20.03.2011 18:45:06,88,99,3199
20.03.2011 18:45:08,88,100,3199
20.03.2011 18:45:09,89,100,3213
20.03.2011 18:45:11,90,100,3211
20.03.2011 18:45:13,91,99,3196
20.03.2011 18:45:14,91,99,3180
20.03.2011 18:45:16,92,98,3152
20.03.2011 18:45:17,93,97,3125
20.03.2011 18:45:19,93,96,3109
20.03.2011 18:45:20,91,96,3086
20.03.2011 18:45:22,88,95,3073
20.03.2011 18:45:23,86,95,3063
20.03.2011 18:45:25,85,95,3061
20.03.2011 18:45:26,84,95,3073
20.03.2011 18:45:28,85,96,3081
20.03.2011 18:45:29,85,97,3104
20.03.2011 18:45:31,86,98,3138
20.03.2011 18:45:32,86,99,3174
20.03.2011 18:45:34,87,100,3210
20.03.2011 18:45:35,88,100,3231
20.03.2011 18:45:37,88,101,3230
20.03.2011 18:45:38,89,102,3267
20.03.2011 18:45:40,90,102,3288
20.03.2011 18:45:41,90,103,3310
20.03.2011 18:45:43,91,104,3341
20.03.2011 18:45:44,91,104,3355
20.03.2011 18:45:46,91,104,3360
20.03.2011 18:45:48,91,103,3324
20.03.2011 18:45:49,89,101,3259
20.03.2011 18:45:51,87,99,3202
20.03.2011 18:45:52,86,100,3204
20.03.2011 18:45:54,85,101,3232
20.03.2011 18:45:55,83,102,3268
20.03.2011 18:45:57,84,103,3304
20.03.2011 18:45:58,84,103,3319
20.03.2011 18:46:00,85,103,3313
20.03.2011 18:46:01,85,102,3274
20.03.2011 18:46:03,86,102,3263
20.03.2011 18:46:04,86,100,3230
20.03.2011 18:46:06,87,98,3168
20.03.2011 18:46:07,88,96,3068
